codigo_renacyt,Investigador,Genero,URL CTI Vitae,grupo,nivel,fecha_de_inicio_de_vigencia,fecha_fin_de_vigencia,Rango de Edad,reglamento
P0316823,"RIVERA PALOMINO, GRECIA ODALIS",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=316823,,VI,2022-12-22,,Entre 20 a 29 años,Reglamento 2021
P0315885,"SOTELO LEZAMA, MIGUEL JHONATAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=315885,,II,2022-12-13,,Entre 40 a 49 años,Reglamento 2021
P0315873,"ROJAS CHAVEZ, ROBERTH ANTHONY",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=315873,,VII,2022-12-22,,Entre 20 a 29 años,Reglamento 2021
P0315348,"ZULUAGA HERNANDEZ, EDISON ALBERT",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=315348,,VII,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0315138,"BLANCO BLANCO, MARÍA ALEJANDRA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=315138,,VII,2022-12-19,,Entre 40 a 49 años,Reglamento 2021
P0313801,"DA SILVA , JOSÉ LUIZ",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=313801,,III,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0311899,"RIVAS VILLENA, JESÚS ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=311899,,VII,2022-11-25,,Entre 20 a 29 años,Reglamento 2021
P0311873,"DELGADIN , TOMAS HORACIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=311873,,IV,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0311034,"ALDERETE MALPARTIDA, MARLENI BEATRIZ",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=311034,,VII,2022-12-13,,Entre 30 a 39 años,Reglamento 2021
P0310551,"PATIÑO VANEGAS, JUAN CAMILO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=310551,,VII,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0310117,"RAICO GALLARDO, YOLANDA NATALI",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=310117,,VI,2022-11-10,,Entre 30 a 39 años,Reglamento 2021
P0310040,"YANDUN VELASTEGUI, MARCO ANTONIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=310040,,VII,2022-10-28,,Entre 40 a 49 años,Reglamento 2021
P0309757,"OSMASTON , ALICE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=309757,,VI,2022-10-18,,Entre 20 a 29 años,Reglamento 2021
P0309187,"MARIÑOS ROSADO, DIEGO JHOVANNY",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=309187,,VII,2022-10-28,,Entre 20 a 29 años,Reglamento 2021
P0308700,"NANDA , KAMALA KANTA",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=308700,,V,2022-12-13,,Entre 30 a 39 años,Reglamento 2021
P0305221,"DE JESUS BARBETTA, RAPHAEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=305221,,IV,2022-10-18,,Entre 30 a 39 años,Reglamento 2021
P0302555,"LAGNEAUX , ELISABETH GINETTE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=302555,,VII,2022-10-18,,Entre 20 a 29 años,Reglamento 2021
P0300705,"VINELLI ARZUBIAGA, DANIELLA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=300705,,VI,2022-10-22,,Entre 20 a 29 años,Reglamento 2021
P0299682,"SCIAUDONE , MICHAEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=299682,,VII,2022-09-30,,Entre 30 a 39 años,Reglamento 2021
P0299474,"QUISPE CASTAÑEDA, CLAUDIA VANESSA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=299474,,VII,2022-10-27,,Entre 40 a 49 años,Reglamento 2021
P0298888,"QUIROZ CHAVIL, WALTER JOSE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=298888,,VII,2022-09-06,,Entre 30 a 39 años,Reglamento 2021
P0297853,"ACEVEDO SANCHEZ, OSCAR ADAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=297853,,VII,2022-10-18,,Entre 20 a 29 años,Reglamento 2021
P0297435,"BEIER , CHRISTINE MARIE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=297435,,VI,2022-11-14,,Entre 50 a 59 años,Reglamento 2021
P0297433,"MICHAEL , LEV DAVID",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=297433,,III,2022-09-06,,Entre 50 a 59 años,Reglamento 2021
P0295989,"MOUSA , MOHAMED  ",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=295989,,I,2022-09-06,,Entre 30 a 39 años,Reglamento 2021
P0295529,"VELA LOZANO, JUAN MANUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=295529,,VII,2022-10-28,,Entre 40 a 49 años,Reglamento 2021
P0295171,"ZAPATA CAMPOS, JONATHAN JOAS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=295171,,VII,2022-09-14,,Entre 30 a 39 años,Reglamento 2021
P0293634,"MÉNDEZ GONZÁLEZ, JOSÉ FERNANDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=293634,,VII,2022-09-06,,Entre 40 a 49 años,Reglamento 2021
P0292467,"ALIAGA RAMOS, JOSUE JESUS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=292467,,VII,2022-10-18,,Entre 30 a 39 años,Reglamento 2021
P0291629,"GIERSZ JAROCHOWICZ, MILOSZ PAWEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=291629,,V,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0287829,"MAITA CRUZ, YONI MAGALI",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=287829,,VII,2022-12-14,,Entre 40 a 49 años,Reglamento 2021
P0286702,"ARIAS SALAZAR, CARLA LILI",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=286702,,VII,2022-10-25,,Entre 20 a 29 años,Reglamento 2021
P0286267,"MAMANI MACHACA, WILSON ANTONY",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=286267,,VII,2022-10-22,,Entre 20 a 29 años,Reglamento 2021
P0285629,"REMAYCUNA VASQUEZ, ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=285629,,VII,2022-12-06,,Entre 30 a 39 años,Reglamento 2021
P0285620,"FEINGOLD , BETH",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=285620,,II,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0285391,"BERNAL PERALTA, JORGE FRANCISCO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=285391,,VI,2022-08-01,,Entre 50 a 59 años,Reglamento 2021
P0285350,"CHUCUYA MAMANI, SAMUEL CECILIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=285350,,VII,2022-09-30,,Entre 20 a 29 años,Reglamento 2021
P0285256,"SAHLSTRÖM , LARS FREDRIK",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=285256,,V,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0283835,"GAVINO GUTIERREZ, ARQUIMEDES MANSUETO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=283835,,V,2022-07-22,,Entre 40 a 49 años,Reglamento 2021
P0283469,"PINO RIOS, RICARDO HUGO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=283469,,II,2022-06-17,,Entre 30 a 39 años,Reglamento 2021
P0283451,"ALVAREZ TOLEDO, KELVIN HAROLD",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=283451,,VII,2022-06-08,,Entre 30 a 39 años,Reglamento 2021
P0283262,"JUAREZ LLOCLLA, JORGE PAUL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=283262,,VII,2022-07-22,,Entre 30 a 39 años,Reglamento 2021
P0282978,"VERA PAREDES, JULISSA JOVANA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282978,,VII,2022-09-01,,Entre 20 a 29 años,Reglamento 2021
P0282957,"BLANCO MACHIN, ADRIAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282957,,V,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0282916,"APARCANA GRANDA, DIEGO JOSE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282916,,VII,2022-05-17,,Entre 20 a 29 años,Reglamento 2021
P0282244,"RODRIGUEZ BUSTAMANTE, JAIR OBED",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282244,,VII,2022-10-10,,Entre 20 a 29 años,Reglamento 2021
P0282158,"ZIEMENDORFF , STEFAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282158,,VII,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0282142,"ECHEGARAY UGARTE, TALIA SDENKA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282142,,VII,2022-12-29,,Entre 30 a 39 años,Reglamento 2021
P0282061,"MORENO GARCIA, ROBERTO ADRIAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=282061,,IV,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0280985,"RODRIGUEZ GAMBOA, ALEXANDER ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=280985,,VII,2022-07-22,,Entre 30 a 39 años,Reglamento 2021
P0280739,"YON ALVA, ROBERTO CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=280739,,VII,2022-11-25,,Entre 40 a 49 años,Reglamento 2021
P0280738,"VARGAS VARGAS, GILDER SAMUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=280738,,VII,2022-10-28,,Entre 30 a 39 años,Reglamento 2021
P0280700,"GALLEGOS REJAS, VICTOR MANUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=280700,,VII,2022-08-22,,Entre 30 a 39 años,Reglamento 2021
P0280324,"MEZA MAURICIO, EDWIN JONATHAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=280324,,V,2022-07-22,,Entre 30 a 39 años,Reglamento 2021
P0279813,"GONZALES VERA, RICARDO ALONSO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=279813,,V,2022-12-29,,Entre 20 a 29 años,Reglamento 2021
P0279602,"RAZURI BUSTAMANTE, CESAR RAMON",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=279602,,V,2022-10-27,,Entre 30 a 39 años,Reglamento 2021
P0278988,"LOPEZ GURREONERO, CARLOS FRANCISCO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=278988,,VII,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0274897,"URBINA PADILLA, JAVIER PIETRO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=274897,,VII,2022-12-13,,Entre 30 a 39 años,Reglamento 2021
P0273829,"SANDOVAL TRIGOS, JESUS CESAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=273829,,VII,2022-09-27,,Entre 30 a 39 años,Reglamento 2021
P0272006,"COMPEN CHANG, PATRICIA DEL ROSARIO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=272006,,VII,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0271784,"PARI BEDOYA, ILDA NADIA MONICA DE LA ASUNCION",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=271784,,VII,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0270989,"COAYLA TERAN, EDSON ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=270989,,V,2022-05-17,,Entre 50 a 59 años,Reglamento 2021
P0268946,"GAMARRA MIRANDA, LUIS ALFREDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=268946,,VII,2022-07-14,,Entre 50 a 59 años,Reglamento 2021
P0268136,"BELLIDO YARLEQUE, DAVID ARTURO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=268136,,VII,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0267824,"CHAMORRO QUIJANO, SARIO ANGEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=267824,,VII,2022-06-08,,Entre 20 a 29 años,Reglamento 2021
P0267114,"SEMINARIO HURTADO, NUCCIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=267114,,VII,2022-12-27,,Entre 20 a 29 años,Reglamento 2021
P0267094,"ZAVALETA CORVERA, CARLOS ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=267094,,VII,2022-12-29,,Entre 20 a 29 años,Reglamento 2021
P0265092,"AMAU CHIROQUE, JUAN MANUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=265092,,VII,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0264385,"LAZARTE RANTES, CLAUDIA ISABEL",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=264385,,VII,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0264245,"MENDEZ CHANG, ELVIRA VICTORIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=264245,,VII,2022-10-28,,Entre 50 a 59 años,Reglamento 2021
P0263786,"ORTEGA CACERES, GUTIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=263786,,VI,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0262874,"SORIA ITURRI, MELCHOR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=262874,,VII,2022-04-21,,Entre 30 a 39 años,Reglamento 2021
P0261737,"ROMERO BONILLA, HUGO ITALO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=261737,,IV,2022-09-06,,Entre 40 a 49 años,Reglamento 2021
P0260864,"TORRES ALMIRON, JENIFFER CARLA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=260864,,VII,2022-10-28,,Entre 20 a 29 años,Reglamento 2021
P0260779,"QUINTEROS NAVARRO, DINO MICHAEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=260779,,VII,2022-10-05,,Entre 40 a 49 años,Reglamento 2021
P0260060,"TAUSSIG TAUSSIG, SYLVIE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=260060,,V,2022-09-14,,Entre 50 a 59 años,Reglamento 2021
P0259609,"DE LA CRUZ KU, GABRIEL ANTONIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=259609,,III,2022-09-14,,Entre 20 a 29 años,Reglamento 2021
P0259106,"ABAD QUISPE, CLEMER JOSCELIN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=259106,,III,2022-06-21,,Entre 40 a 49 años,Reglamento 2021
P0257408,"CABEZAS RAMIREZ, TEODORO VICTOR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=257408,,VII,2022-12-29,,Entre 50 a 59 años,Reglamento 2021
P0257095,"ANIBAL RIVERO, RAFAEL ANTONIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=257095,,VII,2022-11-25,,Entre 40 a 49 años,Reglamento 2021
P0255971,"MOLINELLI ARISTONDO, FIORELLA GIANNINA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=255971,,VII,2022-11-25,,Entre 40 a 49 años,Reglamento 2021
P0255331,"ERAZO RONDINEL, ANDREWS ALEXANDER",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=255331,,VII,2022-09-14,,Entre 20 a 29 años,Reglamento 2021
P0255282,"ACUÑA ZEGARRA, MANUEL ADRIAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=255282,,VI,2022-06-08,,Entre 30 a 39 años,Reglamento 2021
P0254911,"FLORES LLAMPAZO, GERARDO RAFAEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=254911,,V,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0253314,"GUERRERO QUIROZ, ELIZABETH SOLEDAD",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=253314,,VII,2022-10-18,,Entre 60 a 69 años,Reglamento 2021
P0253211,"MORALES GARCÍA, WILTER EYVI MARDEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=253211,,VII,2022-09-06,,Entre 30 a 39 años,Reglamento 2021
P0253098,"GONZÁLEZ GUZMÁN, ADRIÁN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=253098,,V,2022-07-22,,Entre 30 a 39 años,Reglamento 2021
P0253092,"DURAND AZCARATE, LUIS AUGUSTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=253092,,VII,2022-08-05,,Entre 40 a 49 años,Reglamento 2021
P0253049,"LOZANO PERALTA, KATHERINE YOLANDA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=253049,,VII,2022-10-27,,Entre 40 a 49 años,Reglamento 2021
P0250807,"DEXTRE VILCHEZ, SERGIO ARMANDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=250807,,VII,2022-11-10,,Entre 20 a 29 años,Reglamento 2021
P0249303,"ESPINOZA GUILLEN, JOSE ABEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=249303,,VII,2022-11-07,,Entre 20 a 29 años,Reglamento 2021
P0249001,"PUICON SUAREZ, JACQUELINE BETSABE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=249001,,VII,2022-10-18,,Entre 20 a 29 años,Reglamento 2021
